22:05:38 | 200 |       780.4µs | 127.0.0.1 | GET | /metrics | -
22:05:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:42 | 200 |      4.2361ms | 127.0.0.1 | POST | /api/course/ | -
22:05:43 | 200 |      7.7605ms | 127.0.0.1 | POST | /api/course/ | -
22:05:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:44 | 200 |      7.6031ms | 127.0.0.1 | POST | /api/course/ | -
22:05:46 | 200 |      3.9905ms | 127.0.0.1 | POST | /api/course/ | -
22:05:46 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:47 | 200 |      3.0612ms | 127.0.0.1 | POST | /api/course/ | -
22:05:49 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:52 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:55 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:05:56 | 200 |      8.4331ms | 127.0.0.1 | POST | /api/course/ | -
22:05:58 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:00 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:03 | 200 |       877.3µs | 127.0.0.1 | GET | /metrics | -
22:06:06 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:09 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:12 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:15 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:20 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:27 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:30 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:33 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:36 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:39 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:46 | 200 |      7.3726ms | 127.0.0.1 | POST | /api/course/ | -
22:06:47 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:50 | 200 |       919.7µs | 127.0.0.1 | GET | /metrics | -
22:06:53 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:55 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:06:59 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:02 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:05 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:07 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:11 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:14 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:20 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:26 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:29 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:35 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:38 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:41 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:47 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:50 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:53 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:56 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:07:59 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:02 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:05 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:08 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:11 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:14 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:17 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:20 | 200 |       735.2µs | 127.0.0.1 | GET | /metrics | -
22:08:23 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:26 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:29 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
22:08:32 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
